Molecule ChEMBL ID,Standardized Smiles,pIC50,MolWt,TPSA,nRotB,HBD,HBA,LogP,NumHetAtoms,NumHeavyAtoms,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,RingCount,FractionCSP3,Asphericity,Eccentricity,InertShpFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadGyr,SphIndex
CHEMBL256362,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@H](C)C(=O)N(C)C)c34)cc2C)cn1,5.9586,457.21138972400075,89.47,12.0,1.0,7.0,5.033040000000003,8.0,34.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.23076923076923078,0.5191569562773837,0.9800738797185836,0.0003940753307707769,0.1986333061028875,0.8913116838021028,2261.7799547583327,10149.108119970962,11386.71051262059,5.0996442771121515,0.18335556644524134
CHEMBL411897,COC1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,7.5528,509.1942154360008,110.31,11.0,2.0,9.0,4.2135000000000025,11.0,36.0,0.0,0.0,1.0,1.0,3.0,4.0,5.0,0.36,0.3192515103122383,0.9451416333983194,0.00016668112488472722,0.326660822286905,0.7748005046309596,4648.399782319646,11025.449797908266,14230.049841229426,5.414578785430893,0.14677811023695808
CHEMBL255170,Cc1ccc(Oc2ccc(Nc3ncnc4[nH]nc(OCCN5CCC(O)CC5)c34)cc2Cl)cn1,8.1549,495.1785653720007,121.31,10.0,3.0,9.0,4.081120000000001,11.0,35.0,0.0,0.0,1.0,1.0,3.0,4.0,5.0,0.3333333333333333,0.6700480026077799,0.9920895752615081,0.00041485242879927696,0.12553196667558578,0.9076743604474746,2187.945152146248,15820.207149313594,17429.38639526447,5.977074040315081,0.07378217400176287
CHEMBL138363,C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.7959,383.0381721680005,79.8,5.0,2.0,5.0,4.045500000000002,7.0,24.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.058823529411764705,0.5316508744773535,0.9811980904909915,0.00048737824106629026,0.19300338654239294,0.8177518757307048,1677.8588103186967,7109.057586655503,8693.416423292434,4.769361695131516,0.02170325330626024
CHEMBL1645465,C#Cc1cccc(Nc2ncnn3ccc(COC[C@@H]4CNCCO4)c23)c1,6.1739,363.1695249120006,72.71000000000001,6.0,2.0,7.0,1.9591999999999998,7.0,27.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,0.3,0.41581370605717344,0.9658093316407043,0.0004130180345072823,0.25925341832989607,0.7971007706641715,1929.9418041516954,5933.800639298729,7444.228957844921,4.589219325217688,0.10752187541335768
CHEMBL57553,Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,4.301,263.1170954160002,76.72,4.0,2.0,5.0,2.8644000000000007,5.0,20.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.7195826230214153,0.9945480879764419,0.002076892650487783,0.1042789561819817,0.90351257095804,435.03094430318265,3769.273699362062,4171.799951123326,3.988203586552373,0.02326796916726567
CHEMBL1241776,CC(C)n1nc(-c2ccc3nc[nH]c(=O)c3c2)c2c(N)ncnc21,5.1308,321.13380810000046,115.37,5.0,2.0,7.0,1.8928999999999996,8.0,24.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.1875,0.44345835279681595,0.9704639510657107,0.0007905432616505057,0.24124618065770448,0.8300838960421756,1050.0170405717158,3612.916206889634,4352.471146731012,3.7453508810779703,0.12380566672797792
CHEMBL590525,Cc1cccc(CN(Cc2ccc(O)cc2)C(=O)Nc2ccccc2)c1O,5.1244,362.1630425640006,72.8,8.0,3.0,3.0,4.640520000000004,5.0,27.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.13636363636363635,0.17988206554174477,0.8659948215690172,0.00020634277098652612,0.5000529662102267,0.6250267197315754,3029.070108651341,3786.0984371231098,6057.498531821314,4.214128754185762,0.23940722067410203
CHEMBL1169870,NC(=S)N1N=C(c2ccc(Br)c(Br)c2)CC1c1ccc(Cl)cc1,5.0888,470.88072026400033,41.62,2.0,1.0,2.0,5.259700000000003,7.0,23.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,0.125,0.6663318778622969,0.9918815652721109,0.0006326490334236068,0.12716509141013232,0.9008077710359266,1423.8665096209309,10086.337394651826,11196.991987594161,4.896111282679942,0.1672016551213166
CHEMBL1173602,NC(=S)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccccc1Cl,5.1379,382.9817514240003,41.62,2.0,1.0,2.0,5.041500000000003,7.0,23.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,0.125,0.427790660350337,0.968100519319698,0.0005511638047004152,0.2505621369898718,0.8628965855880286,1565.5900808962874,5391.645966407525,6248.310697316457,4.142775297674682,0.2509729205033076
